tweet_text,sentiment
paint bedroom furniture still table wait move uggh move heat,0
tired.and insomnia,0
people house not know close door,0
twitteruser amp twitteruser soo hungry,0
twitteruser not like possibility left side brain hurting thing call vp shunt possible death,0
1:15 hear helicopter fly house kind weird news headache back boo,0
think vog make sicker think feel slightly achy,0
homework sux big time math bad,0
3wordsaftersex never start,0
loove guitar play think sound magnificent well,1
twitteruser not   cry lol,0
hate new mt dew commercial.the one giant mosquito.it scare gross time,0
twitteruser aw u not let secret,0
transport church   not make crush oh well time assignment suppose throat really hurt,0
hate see pregnant woman smokingg soo irresponsible n selfish saad ultimately baby one suffer,0
lies.lies.lies.you not avoid lie practically.everything,0
piss not let follow ericka,0
twitteruser close tacos.one spot late,0
not see muffin two whole day,0
twitteruser miss back give twitteruser regard,0
admit bit bummed not friend walk today,0
twitteruser girl blunt soo thought right absolutly great day stressors.come home,1
twitter hack,0
find mj mouse flat djs course none leave size,0
twitteruser   hahaha well try ugly,0
twitteruser not even want know know vhemt not go 'd miss,0
twitteruser awesome weekend not go move sit   lot fun though,1
omg ness 11:18 pm need beup early set garage sale start 8 a.m. wish say 9 a.m. beat,0
twitteruser kno doo partyin,0
go sleep go fall asleep playing app tmrw go suck,0
hate bf beat da dog guess way teach pitt,0
sprain ankle   like really badly tear stuff hurt birthday weekend,0
think may break toe bar tonight.thank drunk girl steppin,0
twitteruser   diabetic   dad   amp may not sure   still allow eat sugar throughout day,0
scary lightning thunder   glad go sleep hope not late school tomorow haha,1
tooth head hurt,0
hang sam billy veronica not go school tomorrow take sam body shop dang car accident,0
arrest development sad,0
twitteruser   wicked time leave come not stay night,0
feel deflate doggy,0
get home not want read last chaper break dawn cause not want,0
twitteruser manual process take 4ever outlook database pff crappy msft product,0
alo sad quiet empty tonight,0
twitteruser hahahaha not horrible singe sure could work wish could afford drum set,1
cystic lacrimal infectection eye face swollen hurt,0
oh nevermind think thing unsalvageable,0
sad christian lacroix file bankruptcy,0
not feel good fuckk,0
twitteruser ohh poor girl   email rely october mr,0
twitteruser bad time,0
aarrgghh fu*k.a hose leak water new floating floor,0
go dreaded dmv tomorrow,0
puppy gizmo h8s   haha still growl   always look back long pruple scar fingie,1
twitteruser yeah plus little far walk pinocchio 's sushi,0
feel deflate doggy,0
find book start real paper bind journal tonight annoying zit lip make look like herpe,0
feel bad   get bad news mum,0
twitteruser damn girl ya get let know get kit together amp get flyer   next weekend i&quot;m,0
twitteruser dbl boo sick flippin blow bahaha kno not many friend either feel lame   haha,0
feel sick stomach idkk whyy,0
count hour lose sunshine weekend,0
get final table but.went third   not think get free seat,0
work morning friend get party up.stupid bberry lite flash red message,0
fb boring   wanna sing right,0
last day work.sick bone,0
feel like house arrest,0
twitteruser know shortage shell crab use beach due beach comber sad,0
stupid tooth hurt,0
twitteruser love song quot;together&quot quot;his&quot song me.well think still,1
twitteruser computer break break laptop use phone   ahh still cause fuck order,0
twitteruser good not holiday chalet sight look v similar one go home today,1
sad economy hear another friend lose job   sad reminder,0
twitteruser start feel really panicky anxious something bad happen cos seem like age,0
dog run awayy,0
twitteruser suck bad,0
anyone know good rap song need make rap fun cd idea   hellpp,1
awake anybody else awake wish live us since fun happen asleep,1
mobile phone refuse charge   either battery break chargerr boo,0
twitteruser hmm think u sleep bad not see video tomorrow night,0
morning everyone sorry go early last night bad news feel totally crap   today new day,0
wish parent put chinese school young much easy get job,0
twitteruser jealous   look like schindler 's list toronto,0
nearly fall asleep jolt bed massive panic attack not sure sleep,0
twitteruser oh f*ck completely forget thirsty thursday oh gaga suck,0
one people wrong world blame people great world live   shit,0
twitteruser bet cool sr huh not not stop sweat since noon dad pack,0
twitteruser eww dislike,0
decide 2 trans frm relaxed 2 natural hair wish whole head look like root   age instant gratification,1
twitteruser sorry bout cat,0
stomach feel like touch ground.i'm full,0
pug wake incredible sleep,0
twitteruser can`t wait hear new album i`m sure amazing.please replay   love much,1
soo much work little time,0
miss iron chef,0
twitteruser ds version suck,0
twitteruser know ridiculous never get hang   love chicago want go shopping trip sound like fun,1
hate net ayaw bumukas ng twitter  ,0
ugh internet,0
omg not tweet much today sadness,0
feel giddy wanna go home,0
twitteruser link not work,0
somebody please save polar bear,1
miss mom   quot;may angel lead in&quot,0
jacksonville beach walk cold ass water   work morning   ily lt;('-')&gt,0
not sleep suck one day sleep get go shopping mom ugh,0
twitteruser well get home not till tmw 530p comcast right   not miss,1
twitteruser hope ya sleepin well   guy still,1
finish not   color drawing come,0
twitteruser laker baby laker miss game tmwr work   keep post please,0
damn drunk hot suck,0
miss baby,0
shower ice cold water sweat mean one thing sick,0
poorly not sleep,0
go pole class feel discourage hopeless cone dance sexy move spread leg,0
twitteruser poor unfortunate soul not appear pant  ,0
look like another sleepless night dedicate homework sorry advance ms chapman,0
twitteruser     u lot mock,0
twitteruser   not pussy damnit   send e mail right btw,0
not sleep nothing tv,0
twitteruser oh superseede   not good enough,0
really really bored guess go bed,0
sometimes thing say hurt one love unintentionally   never ever take back fix,0
twitteruser suck,0
twitteruser ii know mean,1
fever   not feel work,0
take horse pill hope get sleep tonight,1
twitteruser pgpm student pgpm student 4 year back wish could stay one,1
twitteruser hey school hate place,0
work home today back kill   doctor physio later today,0
back work distraction,1
twitteruser demi say hi it`s enough replay please   love much,1
first impression silverlight sadly base see today quite problematic,0
desperatly hope dad take vanessa 's game,1
twitteruser hi   fuck job,0
miss deeply,0
twitteruser big vanessa go 3 september go fast   hard cuz workin much miss alot,0
somebody please save polar bear,1
nose runny head pound tooth hurt like bitch man @- feel awful   =(,0
headin home.refreshe mind soul justa lil bit.bac reality,1
grove drag hell hope not suck,1
twitteruser feel like shit say happy belate birfdayy month late,0
twitteruser lmao.thats sad kinda discourage 4rom go shit 's wack,0
fc finally time hate keep happen,0
seriously bore without anyone talk not tired enough sleep,0
bed bed bed twitteruser never answer text anymore   think day send one never hear back sad day,0
hope not fail english would sad,1
twitteruser sorry bad driving experience,0
already miss twitteruser,0
plan may change noo,0
sister douchebag,0
twitteruser reliste fee not complete sale   suck,0
know wear sars mask plane socal feel beginning sore throat,0
twitteruser july long,0
wear glass give headache,0
finish sew night upload picture slidebar beach not believe difficulty twitter,0
liesgirlstell   guy call phone see number real ohh phone not work try tomorrow,0
bum not wear sweet nike kicks work,0
sleep.good night tweetie oc tomorrow hope pray rachyl get well soon,1
twitteruser depress stick inside day,0
twitteruser even see news feed archie website not believe 'd choose veronica disappointed,0
hate sick miss twitteruser twitteruser twitteruser,0
depressed not include morcom gardens quiz facebook,0
upsidedown tomato plant die,0
friday last not much fun skint though,0
twitteruser caan't iht early icant wait long   ahar (:,0
friday yay bonus not drive wales tonight   athough miss kitten cuddle go ride,1
child promise birthday brekkie bed problem bugger food house,0
not use blackberry today suck,0
q studio create open season google look dvd downstairs feel lazy,0
twitteruser hate,0
time tv bed.then spend day catch study   hate online summer class,0
  want visit animal late,0
twitteruser pc agree   problem must stop spend work,0
jonaswebcast miss,0
dang really look like crap sigh 35min shower 10min get ready,0
exhausted.can't sleep not like night,0
go miss live comet action tomorrow go take care cousin not access interwebz,1
lol not drink,1
find not drink bar boo miss e1 palomino 's cheer sad face,0
not sleep 2 hour tossing turning,0
omg go die swine flu go melbourne,0
pack   not like,0
twitteruser plus deposit tax return cheque first time 7 year not clear immediately,0
holy crap rain la not jacket   oh,0
aright twitter fam guess going to outtie go try n sleep horrible pain,0
twitteruser lol hi emmy latin would help study aptitude test get grad school wanna take,1
reject food substance,0
twitteruser try interview dr paul twomey ceo icann phone issue cut interview 30 min 15,0
twitteruser not think take needle watch horribly gory short film drug month ago scar life,0
not wanna go back work   sleepy time,0
watch big loser hallmark never fail make cry   nyeh,0
twitteruser suck   old actually,0
twitteruser well missy 8 tell big loser,1
see fox   get freeway hope go home,1
recap britain get talent britain seem talented america,1
twitteruser cnt get go ur old message   gt;&gt;&gt;&gt help?&lt;&lt;&lt;&lt,0
good time rock open mic thank 4 love n support work business plan presentation cg 2nite,1
twitteruser swimming go,0
hmm use tinytwitter small non touch screen really not much fun,0
twitteruser unfortunately not,0
love johnny carson go hate see jay leno go,0
even though everyone want newish song teacher agree old grumpy not like happy   haha,0
english essay r&amp;j.wtf long time ago assign last thursday,0
finally.the internet server phoenix fuck,0
twitteruser twitteruser twitteruser sorry guy drop trip personal commitment,0
twitteruser awesome wish could fly see,1
twitteruser nope   het lost&amp;found ;-),0
rocky cola diner whitti tonight teacher pal mr b great time chat one else come,1
bed still exhausted vegas,0
twitteruser lol true maybe next year loove siggy not remember password mod thing   cake,1
umm soo yeh.its really hard concentrate rite wen weird lupus feel go thro body,0
twitteruser know enjoy watch two twitter entertaining comic   miss,1
twitteruser not yet sorry,0
fall asleep   know feel lol drag hell tonight quite excited,1
god not even catch public transport swine flu shit house,0
dad say trip uk cancel due da swine flu oops sorry abang,0
hahaha alright  ,1
twitteruser twitteruser wake early think dad want take food 9 a.m. no0o0o0o,0
um not think text msgs quot;subject line&quot fail,0
want see friend   ;-),1
twitteruser unless invite come beta key not go much help,0
twitteruser sorry andrew wish something could,0
finsh work eleven even allowd   cauz really not want lol,0
anybody soo bore,0
twitteruser not chaseton 's either   please not die heart really sad,0
interesting show say least recap tomorrow first must sleep work,1
twitteruser feel like hot box matter go still feel like hot box ice cream not work n e,0
twitteruser uugh   hate everything,0
take moment reflect.i want annonymity back fb   safe say anything someone else another friend,1
twitteruser ï¿½ not not sister house ï¿½-net tonite,0
damn hi facebook wrong not add photo,0
aku kbangun gara2 mimpi twitteruser bad dream,0
4 follower follow love pout please,1
twitteruser not even wii b like xbox   use,1
not sleep darn frustrating,0
bff rock hotel california twitteruser song   stay next hmm careless whisper,0
twitteruser one day loneliness creep slap face,0
not feel good,0
go home seriously enough,0
miss oklahomaa   listen citizen cope til pass,0
twitteruser make sad,0
feel like go cough lung,0
wish tease movie night,1
lose 4 follower night nobody like,0
twitteruser miss one year forbidden fruit tree garden munch disappointment one,0
want new phone   see much cellphone commercial,0
twitteruser   soo sad edge page not go come cry,0
time really need shut go sleep head ache badly really not take,0
twitteruser becuz braggin,1
twitteruser   strict diet ugh feel like cheat one day ill throw everything,0
twitteruser ze franz not friende   think think creepy stalker sommat hmph,0
take back horrible shoe mum make get urggh nasty footwear problem not find shoe,0
wow feel like ish   really feel bad ignorent ahole not overturn prop 8,0
wish not tease movie night,1
not know tired today   bye time beddy,0
maybe take drink feel massive hangover   still not yself today,0
friend traveller 's tale hold farewell party kinda disappoint would still sep fault,0
night 5 not talk victor   bored night grr hate shit,0
go die tomorrow night   twitteruser,0
go get try catch z 's high school tomorrow really suck   wish not grow,0
sleep   lose voice couple day ago,0
big day 2day xt launch amazing much free stuff thanx 2 edge telecom find phone want.cnt afford yet tho,1
twitteruser oh yeah poor person not joke poor people,0
twitteruser oh   well hope get well,1
twitteruser cycle tho good healthy eat   healthy eat contradiction term,1
soo.i'm kinda sick n tired bs guy dish  ,0
wish carlton game live   stupid channel 7 lol,0
bt gamer like 2 year make attempt   lol yea luvd f1 extent twitteruser,1
twitteruser hahaha oh man please come pomona would love see everyday instead like year,1
twitteruser miss   come michigan like now.i not wait till july,0
twitteruser   maybe good night 's sleep everyone,1
twitteruser yea tough keep go sometimes not sure worth,0
twitteruser dissapointment   hhaha,0
twitteruser hun okay see alot post exercise like mad not eat sleep,0
oh tweetdeck malfunction :o il web fixd,0
twitteruser .i'm sorry still sick   u know know u guess quot;pelzer present&quot ;-),0
twitteruser adam samberg new moon trailor good evening bad cable friday,0
twitteruser happen afraid miss large part story,0
twitteruser hell yes late,0
dell fx100 pc ip audio device teradici give hard time linux ubuntu jaunty   kernel not load snd hda intel drv,0
get ass kick tripoly lol   get bad card suck,0
creep ice cream social good time lars real girl sad movie,1
ahh quot;let right one in&quot dvd break,0
twitteruser hey love acs see online not yet   not wait buy look amazing,1
fml work uniform washing line,0
ohh shit realize still not talk   b like dat time,0
42nd write fuck get less idea every day every day,0
twitteruser naw not match lol shenanigan discuss   thing,0
twitteruser not part unfortunately,0
twitteruser dude not know personal experience sorry something like go,0
twitteruser aww well randomly wake not sleep many thing mind,0
twitteruser baby miss,0
twitteruser wish could time xbox   project tie,1
pancake always end soggy,0
4 big zongzi lunch eat not work more.work less eat   w h useless become,0
sososo bummed like really bum hate rain ruin date,0
work late night dell notebook dell 's quality go hill warrenty service suck poor people   buy mac instead,0
wow hurt way bad think would,0
none thought make sense sober,0
twitteruser know right   hopefully something come though,1
not sleep tomorrow must wake early,0
bored headache,0
feel like crap whenever lay @)(1 -'$ hate heartburn amp backache,0
twitteruser miss lonely empty without  ,0
miss everyone,0
go bed age ago damn tedtalk   get get early,0
another build fail something not right big scheme thing,0
keep fall asleep suppose awake miss babyy,0
way nottingham.i not want go,0
need wake early actually tired enough fall asleep,0
twitteruser omg never see ring creppy ass movie,0
twitteruser luv urs admit niley kiss (: change mind   haha amp demi sterling (: not jemi still cute,1
twitteruser make feel well lose 10 overnight cause post picture baby,1
still sick   sigh,0
feel really weird,0
twitteruser try self learn photoshop not go well,0
steam punlk fashion show anime north first year since torcon not back til twitteruser amp miss,0
throat hurt   go go read go bed text mee,0
die hangout friday afternoon,1
mann twitteruser get iphone jealous  ,0
wonder come mcdonald take long deliver food,0
twitteruser ya weather super weird look like go rain today course not darnitt,0
twitteruser much injustice imagine get bad get well afraid doubt sorry,0
miss nostalgia everyone please kick tushar,0
soo.i'm kind sick n tired bs guy dish  ,0
twitteruser idk lol head hurt rly bad amp stomach hmm personally think 2 deal wit,0
twitteruser twitteruser expensive,0
wtf facebook clear whole survey last q night get well well   else next,1
twitteruser take advice lookin phone cost relationship,1
weird guy 's house without not like,0
fuck waste deodorant not go not company   let funk ya,0
twitteruser wish know   curse tumblr,1
finish watch series return chaser war everything really quite crap compare use,0
  miss bestfriend :'( leave school,0
ouch earphone shock,0
twitteruser try sleep not work,0
tummy hurt,0
twitteruser haha 18 get one go   curse none friend like tai lol,0
gorgeous weather bike,1
blackout city never good,0
twitteruser aww maybe traumatize,0
twitteruser   live small market deliver day old bread food bank time really tough even,0
ugh much happen today really need hug,0
boring wanna go taekwando,0
tongue still hurt   need sleep,0
twitteruser aww   ok lol hopefully still not back state,1
need little lie not feel great today boo,0
decide not stand twitteruser 's alltop spam long,0
miss rich,0
twitter shit bore c not month,0
home ice cream tweet first tweet pic camera battery die last night forgot charge,0
twitteruser bye scotty   go miss ily&lt;33,1
new comment jowki   wish time blog often  ,1
twitteruser gray feel neglected,0
twitteruser oh know feel   damn representative bank america try make sound like b,0
mass cleanout room rearrange send mother buy bin bookshelf since mine suck bad mood,0
twitteruser rob get lucky game beat 209 205,1
feel really sick   watch fifth element smoke cigg ugh hate cold,0
bah not think twitteruser fb fan page get 7500,0
twitteruser sweety sit table morning.just wake sweet oh.btw.i think home around 7 pm   xx,1
bruise knee make hard skate tomorrow,0
twitteruser lol   go buy new laptop feb already know lol look anyway walk away sadface :/,0
fyi internet thurstag saturday   feeling become 800x productive day,1
sit everyone take good seat,1
free wifi vacay ruin,0
twitteruser maatt not speak age dudee   not forget bout ur aussie fan   ;) lool love ya xx,1
twitteruser oh wait wrong state,0
"fuck cold north like 77 df yesterday 37,4",0
try sleep without pill not work 3 a.m. wide awake late take sleep til 3 p.m.,0
phone die soon oh,0
sorry mean,0
dogs eye seem bad fork new washing machine not vet bill top eh,0
not sleep not find grandmother 's quilt locket sick cause may lose somehow steal,0
bummed f f f break,0
sign account political website could post comment not work,0
come never sleep past not good,0
twitteruser public talk july get cancel not know,0
twitteruser would like 1800 100 mile   gas price crazy alpine next summer def,0
feel rough today want cuddle sleep,0
flu pass unto andy.went shopping get fresh chicken chicken soup.but d&amp;d sit .is sad panda,0
not well,0
twitteruser oh hell   way tell,0
wish live atleast relatively close ohio   not see twitteruser twitteruser almost year,0
twitteruser oh crap,0
twitteruser not get msg :'( buy princess,0
unhappy hate affect everything relationship people personality attitude,0
feel extremally ill,0
twitteruser oh offend   ha,0
quot;my name tony .not hey!&quot   poor tony,0
back time   wish teenager wish could feel healthy not remember like feel healthy anymore,0
friend deeply sorry move miss u much,0
bestie need twitterus,0
damn something say one listen,0
miss old healthy loose faith ever,0
go get try catch z 's high school tomorrow really suck   wish,0
rawr whatnot godawful drawing night tonight even less progress make expect,0
aches amp chills join party could not cold go away get bad,0
twitteruser ohh sorry someone else 's pic   bad,0
bed stomach ache,0
twitteruser not answer call think homie,0
twitteruser school start june1   two day go still not want l,0
facebook quiz one cure boredom haha tooth mouth hurt,1
lappy charger completely dead conserve leave battery afford buy new one,0
summer glau appear dollhouse next year   still not believe not renew tscc,0
finally watch rest guild season 2 always feel sorry hopeful time char twitteruser,0
twitteruser not heart ache child   wanna adopt alexis,0
twitteruser lunch go home rest.not well today,0
goodnight everyone,1
twitteruser twitteruser   bad vo get sick think   amp not even med feel like,0
twitteruser   miss   bring back   keychain,0
one day jay leno   que sad,0
speak keith urban 's record company not get show till back holidays   sorry jack try mate,0
honza take flight back czech republic morning   really go miss,0
twitteruser twitteruser sad thing,0
feel disappointed.mahirap talaga mag supervise ng tao  ,0
fucking hot damn air conditioning,0
twitteruser never like boy   jerm,0
watch two patient die tonight put funk one young,0
aila cyclone leave house calcutta broken sunshade balcony huge branch tree thru bathroom window,0
twitteruser guy paranoid drop countdown not fair   iv vote heap,0
twitteruser not really good night miss little girl,0
wish sri panwa,1
twitteruser sad   not text today,0
tweet tarmac cork airport delay,0
hate tweetdeck reach access limit,0
suck tweetless.and f'n hate money issue,0
wear glass today cos right eye swollen not know,0
twitteruser hear move sydney next year not happy,0
dam keep rainin,0
never chance sleep midnight   mind tired,0
happy b home mind wander not sleep,1
weebo die,0
twitteruser people pathetic   u know one try,0
twitteruser   little family party tonight   hope rock,1
complicate dream,0
twitteruser ahh excited july 21 (: ecxept stupid australia not get til like decembberr   still ahh congratss,1
twitteruser fun tonight leave this.brandi carlile dallas today   sneak show,1
bout watch notorious cause feelin wish could eat something not   surgery tomorrow food til saturday,0
motivated determined wannabe sexy successful young professional may really join bni no1,1
meh almost not sleep not finish anything close cancel dokomi,0
want monte cristo sandwich soo bad,1
awake migrane yey tummy hurt evil ibs,0
twitteruser ee jealous sia not get see,0
twitteruser fair,0
go miss miss suhana,0
unstable broadband electricity take toll mental stability,0
sink hospital toilet low crotch grey suit spatter water time physio,0
mary hate   wana walmart butno one want go,0
feel really sick,0
twitteruser aww tessy wanna hug,1
def want cuddle maybe play one bc far away,0
face arm tragic seriously,0
feel nauseous not sleep,0
get go get ready go meadowhall ;) not believe internet break yesterday   gutte,0
twitteruser err think like 15 buck ticket cause 3d expensive,0
damnit run candy coat book,0
watch blood veoh episode 19 love music.wishing could watch live action not old enough,0
twitteruser miss,0
tummy hurt,0
watch goode family premiere online think may last episode watch pretty amazingly mediocre   pass,1
go dream prince charming tonight n see everything go back normal really hope   lt;3,1
sit school   suck,0
stupid wireless not work downstairs,0
change hairstyle not good suppose n not wealth much money   hate hairdresser~~,0
twitteruser mm love curry not oregan though,1
kind lonely nobody answer phone,0
baby bro last time singe front school   proud get old   22,1
twitteruser nah light kill mood get get bed,0
go work   typical sunshine deep sleep stupid friday,0
twitteruser not properly drag week,0
still miss not think come back,0
look deceive,0
twitteruser not work long time kinda miss miss anna   see prob slo summer,0
look old picture love amp miss good old day,1
twitteruser come back perth   miss show,0
twitteruser soo bore right,0
twitteruser wat riverside,0
madd bored,0
twitteruser yeahh yeah hifi lol grr dad pain say not find anyone go not go,0
wife not get guest list tomorrow show not exist lame guess wife show,0
throat hurt not sleep,0
pull muscle neck morning feel like get sore,0
finish minish cap great game miss ezlo link,1
sadly bprohibite tweet tonight sorry,0
twitteruser unfair good rock show happen b'lore pune,1
miss awesome weather movie,0
ugh not sleep   bus   still like 5 hour,0
feel really bad goofin twitteruser not know really not meeting dang sorry amp big old mouth,0
twitteruser oh man yogg today bad last week,0
friday tube work slow,0
twitteruser miss u guy   prob not b bk til august sumtime come bk anytime b4 ill 4 sure let u kno,1
3 a.m. still not sleep,0
worried mr socks tonight,0
say bad trip angry  ,0
twitteruser strain hear hard way,0
twitteruser unfair good rock show happen b'lore pune,1
bird oh man not cool amp;&amp not sleep yet night,0
worry reply send sms 78277,0
oh good god crampss,0
home early yeh work weekend not happy much 4 big1,0
not sleep could not sleep last night eather   wabble wabble,0
twitteruser two macaroon go bar.one say oh nut   wow need get,1
stay away home since part india dnt hav gud wireless internet fuck,0
honestly feel like not heal get well not good,0
thingsmummysaid need learn wash dish laundry not always right,1
omg mcdonald combo wendys sundae puke material,0
really need sort bird table feeder robin blue tit bully,0
tiire not sleep,0
hate work night cos not really able enjoy gorgeous weather asleep,0
need camera blower camera censor dirteeh,0
really stop rely family say go get lunch,0
change hairstyle not good suppose n not wealth much money   hate hairdresser~~,0
lose mx way,0
computer ethernet school slow,0
twitteruser miss go ek every summer amp christmas vaca   take,0
wish people would leave jon amp kate alone   really like show,1
twitteruser yup sad eh betty man betty,0
bad headache get bad minute not well,0
work lunch lot work not enough help,0
twitteruser suck hear hate day like,0
twitteruser pol song new album really miss udd,0
tired summer already,0
feel really sick,0
hard time fall asleep,0
omg realy not sleep ughh,0
twitteruser take terminator trilogy -d need actually tv series still not find anything tempt,0
twitteruser translation complicate sh someone go teach,0
someone hack email fuck,0
die get hand diagnosis murder dvd boxset pesky kid amazon still not deliver zimbabwe,0
bored nothing,0
twitteruser   haha,1
song make want cry,0
twitteruser aww not cry ashley,1
oops not open 9 a.m.,0
twitteruser sigh sad lonely profession,0
look like eprocurement e mail address office mate blacklist ask whitelist,0
sibling leave alone   bore :|,0
bus almost hour late crappy alarm clock   leeuwarden 9:45,0
wish grandmother take us,1
twitteruser hear regina girls song les deux think u 2 come back 2 mc miss u,0
bummed not get see manchester orchestra bc sell spend night buy tv show itunes   lame,0
walmart open first store amritsar tomorrow places).the horror.hoping limit wholesale,1
twitteruser omg fair,0
twitteruser not weekend sorry   steph work,0
twitteruser not honey get mad yrs go crazy,0
sore throat since monday morning twitteruser.i'm sick hurtin want freakin sleep,0
gha work hopefully traffic clear time get,1
get home effin sad,0
twitteruser cheer lizzi b another foh hero concert   still suppose b upset   xoxoxo,0
taxi q pelangi super loong get headache hot cold transition,0
twitteruser sadly not   hopeful american doll posse blah vacant dynamic,0
try talking.voice die end sentence annpyimg thing feel fine another day not play hit,1
rent bike unknown trail random bump big hill kid one beat little girl not good day b family vacation,0
feel like london marathon ach,0
go die study overload weekend much homework pay work interrupt screw,0
not excited blow another candle today kid,0
sigh.it always sad watch series finale.no green wing leave watch,0
twitteruser yeps.just today though   badly want geek shopping,0
soo tired want crawl back bed,0
fam back big island say vog bad not see ocean sad,0
sunny morning big k lawn mow 2 mile run attempt urgh,0
twitteruser baby help math,1
quot;locked abroad&quot make bein half brown good risk mgmt travelin 3rd world blend feel sorry hostage magnet white pepo,0
twitteruser sorry lol never like actual time spend unfortunately everything always insane go,0
twitteruser sorry could not fit hal 's name,0
twitteruser go ask want go club hidden house sat night hehe,1
think annoying keep get twitt error message mobile,0
twitteruser shannie sorry not mean upset think would find cute   sorry not sad,0
twitteruser right totally forget may not till august though   great summer,1
twitteruser ohh emm gee souvlaki dimitris.i wanna go homee   lol,1
rah rah youtube not work oh great,0
twitteruser cat pain,0
